"price","no_rooms","no_bathrooms","area","neighborhood","municipality","type","cost_m2"
13000,3,5,102,"El Ojo de Agua","Tlajomulco de Zúñiga","House",127.450980392157
21000,3,3,119,"Fraccionamiento Nueva Galicia Residencial","Tlajomulco de Zúñiga","House",176.470588235294
22000,4,3,201,"Nuevo México","Zapopan","House",109.452736318408
14000,3,2,130,"12 de Diciembre","Zapopan","House",107.692307692308
17800,3,1,140,"Jardines Del Sol","Zapopan","House",127.142857142857
50000,3,2,170,"Providencia","Guadalajara","House",294.117647058824
27000,3,3,200,"Fraccionamiento Solares","Zapopan","House",135
54000,3,3,300,"Puerta de Hierro","Zapopan","House",180
35000,4,3,330,"Ciudad Bugambilia","Zapopan","House",106.060606060606
60000,3,4,333,"Royal Country","Zapopan","House",180.18018018018
12300,1,2,140,NA,"Zapopan","House",87.8571428571429
85000,3,4,140,"Puerta de Hierro","Zapopan","House",607.142857142857
25000,3,2,160,"Punto Sur","Tlajomulco de Zúñiga","House",156.25
55000,3,4,90,"Fraccionamiento Bugambilias","Zapopan","House",611.111111111111
13500,2,2,62,"Nuevo México","Zapopan","House",217.741935483871
5800,3,2,120,"Hacienda Del Real","Tonalá","House",48.3333333333333
35000,3,5,114,"Fraccionamiento Bugambilias","Zapopan","House",307.017543859649
20000,3,2,190,"Fraccionamiento Jardín Real","Zapopan","House",105.263157894737
14500,3,2,71,"Bosques de Santa Anita","Tlajomulco de Zúñiga","House",204.225352112676
7500,5,1,165,"Fraccionamiento Residencial Amaranto","Zapopan","House",45.4545454545455
12500,3,1,90,"PanorAmica HuentitAn","Guadalajara","House",138.888888888889
15000,2,2,123,"La Tijera","Tlajomulco de Zúñiga","House",121.951219512195
13000,3,1,102,"El Ojo de Agua","Tlajomulco de Zúñiga","House",127.450980392157
7900,2,2,118,"Belcanto","Tlajomulco de Zúñiga","House",66.9491525423729
14800,2,1,82,"Santa Ana Tepetitlán","Zapopan","House",180.487804878049
9100,2,5,84,"Adamar","Tlajomulco de Zúñiga","House",108.333333333333
20500,3,2,147,"Tepeyac","Zapopan","House",139.455782312925
26500,3,2,200,"Ciudad Bugambilia","Zapopan","House",132.5
35000,5,2,300,"Fraccionamiento Vallarta Norte","Guadalajara","House",116.666666666667
18500,3,4,69,"Nuevo México","Zapopan","House",268.115942028986
41000,4,3,206,"El Bajío","Zapopan","House",199.029126213592
26000,4,2,150,"Santillana","Zapopan","House",173.333333333333
7900,3,4,96,"Fraccionamiento Misión Del Bosque","Zapopan","House",82.2916666666667
31000,3,3,300,"Fraccionamiento Rinconada de los Novelistas","Zapopan","House",103.333333333333
16000,3,2,80,"Jardines del Valle","Zapopan","House",200
12500,3,2,115,"Fraccionamiento Bonanza Residencial","Tlajomulco de Zúñiga","House",108.695652173913
32000,4,4,260,"Residencial Provenza","Tlajomulco de Zúñiga","House",123.076923076923
8500,2,1,91,"Adamar","Tlajomulco de Zúñiga","House",93.4065934065934
33000,5,5,146,"Fraccionamiento Solares","Zapopan","House",226.027397260274
28500,5,5,157,"Fraccionamiento Solares","Zapopan","House",181.528662420382
30000,3,2,144,"Fraccionamiento Solares","Zapopan","House",208.333333333333
13000,3,5,90,"La Palmira","Zapopan","House",144.444444444444
9500,2,3,93,"Adamar","Tlajomulco de Zúñiga","House",102.150537634409
10500,3,1,89,"La Venta del Astillero","Zapopan","House",117.977528089888
19000,3,2,150,"Fraccionamiento Pinar de La Venta","Zapopan","House",126.666666666667
9000,3,3,60,"Fraccionamiento Valle de San Nicolás","Zapopan","House",150
22500,3,4,237,"Santa Ana Tepetitlán","Zapopan","House",94.9367088607595
40000,4,5,233,"Santillana","Zapopan","House",171.673819742489
22000,2,3,106,"Mezquitan","Guadalajara","House",207.547169811321
41900,5,2,209,"Americana","Guadalajara","House",200.478468899522
19000,4,3,167,"Fraccionamiento Jardines de Santa Isabel","Guadalajara","House",113.77245508982
16500,2,2,100,"Santa Ana Tepetitlán","Zapopan","House",165
35000,3,2,252,"Fraccionamiento Solares","Zapopan","House",138.888888888889
15000,3,2,115,"Adamar","Tlajomulco de Zúñiga","House",130.434782608696
20000,3,3,105,"Altavista Residencial","Zapopan","House",190.47619047619
14000,3,1,130,"12 de Diciembre","Zapopan","House",107.692307692308
