Price,No_rooms,No_bathrooms,Area,Adress,Colony,Type
79000,5,5,615,Chapalita Oriente,Zapopan,House
50000,8,7,360,Providencia,Guadalajara,House
20000,5,2,280,Barragán y HernAndez,Guadalajara,House
3800,10,10,300,Monumental,Guadalajara,House
15000,3,2,97,Villas de Zapopan,Zapopan,House
80000,3,3,744,Puerta de Hierro,Zapopan,House
61000,4,7,1350,Fraccionamiento Bugambilias,Zapopan,House
26000,3,3,232,Fraccionamiento Nueva Galicia Residencial,Tlajomulco de Zúñiga,House
21000,4,4,319,Casa Fuerte,Tlajomulco de Zúñiga,House
24500,4,3,200,Zoquipan,Zapopan,House
130000,3,4,423,Fraccionamiento Colomos Providencia,Guadalajara,House
29000,4,4,162,Fraccionamiento Solares,Zapopan,House
70000,8,8,339,Ciudad Del Sol,Zapopan,House
10000,7,3,35,Arcos de Guadalupe,Zapopan,House
30000,3,2,564,Lomas de Santa Anita,Tlajomulco de Zúñiga,House
11500,2,,75,Hogares de Nuevo México,Zapopan,House
9800,3,3,80,Fraccionamiento Real Del Bosque,Zapopan,House
28500,3,3,133,Punto Sur,Tlajomulco de Zúñiga,House
30000,3,4,253,Los Gavilanes Poniente,Tlajomulco de Zúñiga,House
95000,3,4,650,Colinas de San Javier,Zapopan,House
14000,3,3,83,Natura Bosque Residencial,Zapopan,House
57000,3,2,510,Puerta de Hierro,Zapopan,House
16000,3,4,160,Casa Fuerte,Tlajomulco de Zúñiga,House
49900,4,5,282,Providencia,Guadalajara,House
80000,4,2,538,Valle Real,Zapopan,House
25000,3,3,150,Fraccionamiento Residencial Victoria,Guadalajara,House
46000,3,3,230,El Bajío,Zapopan,House
7000,4,3,80,Fraccionamiento Parques de Tesistán,Zapopan,House
23000,4,5,185,El Palomar,Tlajomulco de Zúñiga,House
58000,4,2,370,Fraccionamiento Jardín Real,Zapopan,House
14000,3,2,120,Bosques de Santa Anita,Tlajomulco de Zúñiga,House
17800,3,4,166,Fraccionamiento Valle Imperial,Zapopan,House
22000,3,3,140,Fraccionamiento La Cima,Zapopan,House
33000,3,3,500,Ciudad Bugambilia,Zapopan,House
150000,4,2,850,Fraccionamiento Colomos Providencia,Guadalajara,House
16000,3,,105,San Agustín,Tlajomulco de Zúñiga,House
21000,3,2,191,Chapalita,Guadalajara,House
45000,6,6,160,Fraccionamiento Solares,Zapopan,House
13500,3,2,95,El Tigre,Zapopan,House
21000,4,3,300,Fraccionamiento Jardines Del Country,Guadalajara,House
18800,3,3,99,Guadalupe 2a Sección,Zapopan,House
25000,2,4,200,La Estancia,Zapopan,House
29900,4,3,202,Chapalita,Guadalajara,House
17800,3,2,165,Fraccionamiento Valle Imperial,Zapopan,House
18500,4,3,115,Fraccionamiento Valle Imperial,Zapopan,House
26000,4,4,1,Villa de los Belenes,Zapopan,House
25000,3,2,130,Fraccionamiento Valle Imperial,Zapopan,House
19900,5,5,119,San Agustín,Tlajomulco de Zúñiga,House
15000,3,1,143,El Colli Urbano,Zapopan,House
11000,1,1,80,El Vigía,Zapopan,House
131000,4,4,1000,Lomas del Valle,Zapopan,House
16500,3,2,105,Bosques de San Isidro,Zapopan,House
18200,4,3,125,Fraccionamiento Real de Valdepeñas,Zapopan,House
24000,3,5,164,Jardines Del Sol,Zapopan,House
17000,3,2,107,Fraccionamiento Jardines de Guadalupe,Zapopan,House
40000,4,4,507,Residencial Provenza,Tlajomulco de Zúñiga,House
69000,5,2,600,Valle Real,Zapopan,House
10500,3,1,160,Fraccionamiento Cortijo de San Agustin,Tlajomulco de Zúñiga,House
12200,3,3,97,Zapopan Centro,Zapopan,House
8500,3,3,99,Fraccionamiento Parques de Tesistán,Zapopan,House
12000,3,5,105,Bosques de Santa Anita,Tlajomulco de Zúñiga,House
70000,4,4,412,Valle Real,Zapopan,House
38000,4,4,300,Ciudad Bugambilia,Zapopan,House
45200,3,4,300,Villa Universitaria,Zapopan,House
28500,3,4,140,Punto Sur,Tlajomulco de Zúñiga,House
28000,5,2,369,Fraccionamiento Bugambilias,Zapopan,House
18000,4,2,160,Casa Fuerte,Tlajomulco de Zúñiga,House
11000,3,1,96,San Agustín,Tlajomulco de Zúñiga,House
13000,2,2,65,Fraccionamiento Residencial Moctezuma,Zapopan,House
17800,3,7,166,Fraccionamiento Valle Imperial,Zapopan,House
45000,6,2,798,Ciudad Del Sol,Zapopan,House
18000,3,3,98,Santa Ana Tepetitlán,Zapopan,House
18500,3,5,135,Volcán Del Colli,Zapopan,House
28000,5,2,152,Fraccionamiento Solares,Zapopan,House
20500,3,3,128,Jardines de La Patria,Zapopan,House
6500,3,,109,Fraccionamiento Albaterra,Zapopan,House
12000,3,3,105,Bosques de Santa Anita,Tlajomulco de Zúñiga,House
22200,3,2,95,Fraccionamiento Valle Esmeralda,Zapopan,House
25000,3,3,165,Fraccionamiento Valle Imperial,Zapopan,House
33000,3,3,500,Ciudad Bugambilia,Zapopan,House
